Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,BuildingArea_missing
Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,2016-12-03,2.5,3067,2,1,1,202.0,120.3204081632653,1950,-37.7996,144.9984,Northern Metropolitan,4019,1
Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,2016-02-04,2.5,3067,2,1,0,156.0,79.0,1900,-37.8079,144.9934,Northern Metropolitan,4019,0
Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067,3,2,0,134.0,150.0,1900,-37.8093,144.9944,Northern Metropolitan,4019,0
Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,2017-03-04,2.5,3067,3,2,1,94.0,97.55102040816327,1960,-37.7969,144.9969,Northern Metropolitan,4019,1
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,2016-06-04,2.5,3067,3,1,2,120.0,142.0,2014,-37.8072,144.9941,Northern Metropolitan,4019,0
Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,2016-05-07,2.5,3067,2,1,0,181.0,114.46938775510205,1977,-37.8041,144.9953,Northern Metropolitan,4019,1
Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,2016-05-07,2.5,3067,4,2,0,245.0,210.0,1910,-37.8024,144.9993,Northern Metropolitan,4019,0
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,2016-10-08,2.5,3067,2,1,2,256.0,107.0,1890,-37.806,144.9954,Northern Metropolitan,4019,0
Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,2016-10-08,2.5,3067,1,1,1,51.38775510204081,51.38775510204081,1888,-37.8008,144.9973,Northern Metropolitan,4019,1
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,2016-10-08,2.5,3067,3,1,2,220.0,75.0,1900,-37.801,144.9989,Northern Metropolitan,4019,0
Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,2016-11-12,2.5,3067,2,2,1,91.52571428571429,91.52571428571429,1970,-37.811,145.0067,Northern Metropolitan,4019,1
