Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Land_price_per_m2,Building_price_per_m2,Building_and_land_price_per_m2,is_Eastern_Victoria,is_Northern_Metropolitan,is_Northern_Victoria,is_South_Eastern_Metropolitan,is_Southern_Metropolitan,is_Western_Metropolitan,is_Western_Victoria,YearSold,HouseAge
Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,2016-12-03,2.5,3067.0,2.0,1.0,1.0,202.0,119.7808510638298,1890,-37.7996,144.9984,Northern Metropolitan,4019,7326.732673267326,12355.89818285166,4599.40358510153,False,True,False,False,False,False,False,2016,126
Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,2016-02-04,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900,-37.8079,144.9934,Northern Metropolitan,4019,6634.615384615385,13101.26582278481,4404.255319148936,False,True,False,False,False,False,False,2016,116
Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900,-37.8093,144.9944,Northern Metropolitan,4019,10932.835820895523,9766.666666666666,5158.450704225352,False,True,False,False,False,False,False,2017,117
Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,2017-03-04,2.5,3067.0,3.0,2.0,1.0,94.0,97.93617021276596,1975,-37.7969,144.9969,Northern Metropolitan,4019,9042.553191489362,8679.122311535955,4428.5555925063745,False,True,False,False,False,False,False,2017,42
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,2016-06-04,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014,-37.8072,144.9941,Northern Metropolitan,4019,13333.333333333334,11267.605633802817,6106.8702290076335,False,True,False,False,False,False,False,2016,2
Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,2016-05-07,2.5,3067.0,2.0,1.0,0.0,181.0,114.12765957446808,1950,-37.8041,144.9953,Northern Metropolitan,4019,5198.8950276243095,8245.152870991797,3188.4507245331984,False,True,False,False,False,False,False,2016,66
Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,2016-05-07,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910,-37.8024,144.9993,Northern Metropolitan,4019,7657.142857142857,8933.333333333334,4123.076923076923,False,True,False,False,False,False,False,2016,106
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,2016-10-08,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890,-37.806,144.9954,Northern Metropolitan,4019,6390.625,15289.719626168224,4506.887052341598,False,True,False,False,False,False,False,2016,126
Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,2016-10-08,2.5,3067.0,1.0,1.0,1.0,51.80851063829788,51.80851063829788,1940,-37.8008,144.9973,Northern Metropolitan,4019,5790.554414784393,5790.554414784393,2895.2772073921965,False,True,False,False,False,False,False,2016,76
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,2016-10-08,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900,-37.801,144.9989,Northern Metropolitan,4019,4986.363636363636,14626.666666666666,3718.64406779661,False,True,False,False,False,False,False,2016,116
Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,2016-11-12,2.5,3067.0,2.0,2.0,1.0,91.7608510638298,91.7608510638298,1910,-37.811,145.0067,Northern Metropolitan,4019,7628.525584544466,7628.525584544466,3814.262792272233,False,True,False,False,False,False,False,2016,106
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005,-37.8085,144.9964,Northern Metropolitan,4019,6308.411214953271,7105.263157894737,3341.5841584158416,False,True,False,False,False,False,False,2016,11
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067.0,2.0,2.0,1.0,94.0,94.0,2009,-37.8078,144.9965,Northern Metropolitan,4019,7978.723404255319,7978.723404255319,3989.3617021276596,False,True,False,False,False,False,False,2016,7
Abbotsford,45 William St,2,h,1172500.0,S,Biggin,2016-08-13,2.5,3067.0,2.0,1.0,1.0,195.0,111.7063829787234,1910,-37.8084,144.9973,Northern Metropolitan,4019,6012.820512820513,10496.266808883473,3822.8744658416117,False,True,False,False,False,False,False,2016,106
Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,2016-05-14,2.5,3067.0,1.0,1.0,1.0,51.80851063829788,51.80851063829788,1900,-37.8016,144.9988,Northern Metropolitan,4019,8512.114989733058,8512.114989733058,4256.057494866529,False,True,False,False,False,False,False,2016,116
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890,-37.809,144.9976,Northern Metropolitan,4019,5504.201680672269,13505.154639175258,3910.4477611940297,False,True,False,False,False,False,False,2016,126
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880,-37.8056,144.993,Northern Metropolitan,4019,10619.469026548673,10909.09090909091,5381.165919282511,False,True,False,False,False,False,False,2016,136
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890,-37.8021,144.9965,Northern Metropolitan,4019,8525.36231884058,11204.761904761905,4841.563786008231,False,True,False,False,False,False,False,2016,126
Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,2016-09-17,2.5,3067.0,3.0,1.0,0.0,183.0,119.8936170212766,2008,-37.8022,144.9975,Northern Metropolitan,4019,5218.579234972678,7965.3948535936115,3152.9221691486373,False,True,False,False,False,False,False,2016,8
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985,-37.8011,145.0004,Northern Metropolitan,4019,5933.333333333333,12191.780821917808,3991.0313901345294,False,True,False,False,False,False,False,2016,31
Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900,-37.8073,144.9952,Northern Metropolitan,4019,1705.128205128205,9851.851851851852,1453.551912568306,False,True,False,False,False,False,False,2017,117
Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,2017-03-18,2.5,3067.0,3.0,2.0,2.0,135.3404255319149,135.3404255319149,2010,-37.8093,144.9959,Northern Metropolitan,4019,6649.897814808993,6649.897814808993,3324.9489074044964,False,True,False,False,False,False,False,2017,7
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,2016-06-18,2.5,3067.0,2.0,1.0,1.0,60.0,60.0,1970,-37.8015,144.9972,Northern Metropolitan,4019,8333.333333333334,8333.333333333334,4166.666666666667,False,True,False,False,False,False,False,2016,46
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013,-37.8079,144.9977,Northern Metropolitan,4019,8870.967741935483,8148.148148148148,4247.104247104247,False,True,False,False,False,False,False,2016,3
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900,-37.808,144.994,Northern Metropolitan,4019,8945.578231292517,15470.588235294117,5668.103448275862,False,True,False,False,False,False,False,2016,116
Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,2016-08-22,2.5,3067.0,1.0,1.0,1.0,51.80851063829788,51.80851063829788,1900,-37.8016,144.9988,Northern Metropolitan,4019,8222.587268993839,8222.587268993839,4111.293634496919,False,True,False,False,False,False,False,2016,116
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012,-37.8017,145.0001,Northern Metropolitan,4019,8719.87951807229,8318.965517241379,4257.35294117647,False,True,False,False,False,False,False,2016,4
Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,2016-08-22,2.5,3067.0,1.0,1.0,1.0,50.0,50.0,2012,-37.8078,144.9965,Northern Metropolitan,4019,9140.0,9140.0,4570.0,False,True,False,False,False,False,False,2016,4
