Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,BuildingArea_missing,time,time_cont,time_cos,time_sq
Essendon,1/8 Glass St,1,u,310000.0,SP,Brad,2017-05-20,8.0,3040,1,1,1,845.0,45.0,1977,-37.7469,144.9206,Western Metropolitan,9264,0,736865,0.7497872340425532,-0.0013368475395042162,0.5621808963331825
Brighton,7 Oak Gr,4,h,2410000.0,S,Jellis,2017-09-16,10.5,3186,4,3,4,569.0,187.94736842105263,1889,-37.90192,145.00094,Southern Metropolitan,10579,1,736793,0.6885106382978723,-0.37680909574734694,0.47404689904934355
Williamstown,2/20 Victoria St,3,u,890000.0,S,Gunn&Co,2016-12-03,8.0,3016,3,1,3,111.0,111.0,1980,-37.8663,144.8883,Western Metropolitan,6380,0,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
South Melbourne,24B Dow St,2,t,1100000.0,S,Marshall,2017-05-13,2.1,3205,2,1,1,327.0,75.0,2004,-37.8351,144.964,Southern Metropolitan,5943,0,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
West Footscray,135 Suffolk St,3,h,709000.0,S,Jas,2016-05-22,8.2,3012,3,1,1,405.0,134.68421052631578,1980,-37.79,144.86700000000005,Western Metropolitan,5058,1,736560,0.4902127659574468,-0.9981097779620154,0.2403085559076505
Windsor,3/11 Lincoln Pl,2,h,1177000.0,PI,Marshall,2017-03-18,5.1,3181,2,2,2,521.0,122.0,2000,-37.8543,144.9939,Southern Metropolitan,4380,0,736781,0.6782978723404255,-0.4354316867829626,0.46008800362154817
Glenroy,58 Bindi St,4,h,700000.0,S,RW,2017-07-08,11.2,3046,4,2,1,655.0,82.0,1950,-37.69558,144.93223,Northern Metropolitan,8870,0,736529,0.46382978723404256,-0.9742864627848509,0.21513807152557718
Dallas,50 Kaniva St,3,h,310000.0,S,Raine,2017-06-24,14.0,3047,3,1,1,595.0,140.10526315789474,1970,-37.66648,144.93399,Northern Metropolitan,2246,1,736997,0.8621276595744681,0.6476673151720171,0.74326410140335
St Helena,11 Erinne Ct,5,h,1387000.0,S,Morrison,2017-05-27,16.1,3088,5,3,3,1348.0,370.0,2005,-37.68508,145.1395,Eastern Metropolitan,915,0,737075,0.9285106382978724,0.9008030774472426,0.8621320054323224
Bentleigh,22 Hobart St,2,h,1275000.0,S,Woodards,2016-09-03,13.0,3204,2,1,2,599.0,135.0663157894737,1950,-37.925,145.046,Southern Metropolitan,6795,1,736038,0.04595744680851064,0.9585979602384334,0.0021120869171570847
Jacana,39 Emu Pde,3,h,551000.0,S,YPA,2017-03-04,14.5,3047,3,1,0,610.0,121.0,1955,-37.6885,144.9092,Northern Metropolitan,851,0,736361,0.32085106382978723,-0.43061164574291433,0.1029454051607062
Kew East,3/14 Arden Ct,3,t,1620000.0,S,Fletchers,2017-02-25,7.5,3102,3,2,2,248.0,167.0,2012,-37.7923,145.0595,Southern Metropolitan,2671,0,736979,0.8468085106382979,0.5714451753481167,0.7170846536894523
Essendon,159 Cooper St,3,t,650000.0,S,Barry,2016-08-13,8.0,3040,3,2,1,160.0,129.0,1985,-37.7403,144.8989,Western Metropolitan,9264,0,736326,0.29106382978723405,-0.2551585253671358,0.08471815301041195
Balwyn North,3/54 Severn St,4,t,1400000.0,S,Jellis,2016-05-07,9.2,3104,4,2,1,283.0,143.50526315789475,1986,-37.7982,145.0688,Southern Metropolitan,7809,1,736110,0.1072340425531915,0.7814741351438854,0.011499139882299685
Albert Park,21 Greig St,3,h,2500000.0,VB,Greg,2017-06-03,3.0,3206,3,2,1,165.0,148.5,1890,-37.84152,144.95027,Southern Metropolitan,3280,0,736367,0.32595744680851063,-0.45934238352144185,0.10624825712992304
Blackburn North,5 Hibiscus Rd,4,h,1250000.0,PI,Jellis,2017-08-12,13.4,3130,4,2,2,580.0,161.0,1965,-37.8051,145.14351000000005,Eastern Metropolitan,2867,0,736661,0.5761702127659575,-0.8876444302780825,0.3319721140787687
Altona North,16 Beevers St,3,h,680000.0,S,Sweeney,2016-11-19,11.1,3025,3,1,3,551.0,159.05263157894737,1904,-37.8254,144.8514,Western Metropolitan,5132,1,736542,0.4748936170212766,-0.9875835554120111,0.22552394748755092
Caulfield North,9/400 Dandenong Rd,2,u,420000.0,VB,Gary,2016-09-10,8.1,3161,2,1,1,56.0,56.0,2012,-37.861,145.0136,Southern Metropolitan,6923,0,736248,0.2246808510638298,0.15841473287427668,0.05048148483476687
Williamstown,20 Bates Dr,3,h,1200000.0,S,Williams,2016-11-07,8.0,3016,3,2,2,348.0,200.0,1997,-37.8578,144.8799,Western Metropolitan,6380,0,736182,0.16851063829787233,0.4899328822003795,0.028395835219556357
Balwyn North,1 Bolinda Rd,3,h,1700000.0,VB,Fletchers,2016-08-13,9.2,3104,3,2,3,763.0,168.0,1960,-37.7935,145.0865,Southern Metropolitan,7809,0,736326,0.29106382978723405,-0.2551585253671358,0.08471815301041195
Ascot Vale,10 McCully St,3,h,1377000.0,S,Nelson,2016-08-06,5.9,3032,3,1,1,417.0,168.0,1900,-37.7756,144.9208,Western Metropolitan,6567,0,736116,0.1123404255319149,0.7610567432439833,0.012620371208691717
Bentleigh East,1/4 Daphne St,3,t,787500.0,S,Hodges,2016-05-28,13.9,3165,3,2,1,300.0,153.52631578947367,1920,-37.9189,145.0584,Southern Metropolitan,10969,1,736740,0.6434042553191489,-0.6207984922906896,0.41396903576278854
Malvern East,5D Belson St,3,h,1275000.0,S,Tim,2017-06-24,8.4,3145,3,2,2,161.0,153.8421052631579,1950,-37.86779,145.04482,Southern Metropolitan,8801,1,736997,0.8621276595744681,0.6476673151720171,0.74326410140335
Greensborough,17 Nokuna Ct,3,h,730000.0,S,Morrison,2017-06-24,16.1,3088,3,2,2,563.0,191.4742105263158,1990,-37.68995,145.09399,Northern Metropolitan,8524,1,736997,0.8621276595744681,0.6476673151720171,0.74326410140335
Hughesdale,18 Paget St,2,h,1550000.0,S,Woodards,2016-09-03,13.0,3166,2,1,1,732.0,97.0,1950,-37.8931,145.0791,Southern Metropolitan,3145,0,736038,0.04595744680851064,0.9585979602384334,0.0021120869171570847
Doncaster East,28 Highfield Rd,3,h,1381000.0,S,Ray,2017-09-03,14.3,3109,3,2,1,646.0,170.0,1975,-37.78758,145.16792,Eastern Metropolitan,10999,0,736403,0.3565957446808511,-0.6207984922906891,0.12716052512449075
Balwyn,2 Birtles Ct,5,h,3000000.0,VB,Jellis,2016-06-18,9.7,3103,5,5,2,671.0,267.36842105263156,1987,-37.8025,145.0665,Southern Metropolitan,5682,1,736452,0.3982978723404255,-0.8026846115991687,0.1586411951109099
Kew,21 Grandview Tce,4,h,1800000.0,VB,Kay,2016-09-17,5.6,3101,5,2,2,586.0,187.0,1940,-37.7933,145.0343,Southern Metropolitan,10331,0,736458,0.4034042553191489,-0.8214034466813358,0.16273499320959708
Wantirna South,34 Fewster Dr,3,h,970000.0,S,Barry,2017-08-26,14.7,3152,3,2,2,674.0,222.0,1935,-37.8836,145.22805,Eastern Metropolitan,7082,1,737081,0.9336170212765957,0.9142689994009664,0.8716407424173834
Braybrook,12/27 Marnoo St,3,t,560000.0,S,Sweeney,2017-07-22,8.6,3019,3,1,1,158.0,137.0,2002,-37.78893,144.84652,Western Metropolitan,3589,0,736949,0.8212765957446808,0.43302321402763627,0.6744952467179719
Glenroy,129 View St,3,h,643000.0,S,Stockdale,2017-05-20,13.0,3046,3,1,2,674.0,194.57894736842104,1920,-37.6957,144.9231,Northern Metropolitan,8870,1,736865,0.7497872340425532,-0.0013368475395042162,0.5621808963331825
Coburg,212 Reynard St,4,h,1075000.0,S,Hodges,2017-02-25,7.8,3058,4,1,4,531.0,187.0,1925,-37.7473,144.9528,Northern Metropolitan,11204,0,736979,0.8468085106382979,0.5714451753481167,0.7170846536894523
Doncaster East,45 Elizabeth St,4,h,1385000.0,S,Jellis,2017-07-22,14.3,3109,4,3,2,417.0,203.0,1980,-37.79223,145.14606,Eastern Metropolitan,10999,0,736949,0.8212765957446808,0.43302321402763627,0.6744952467179719
Sunbury,1/6 Anthony St,2,u,360000.0,SP,Brad,2017-07-29,31.7,3429,2,1,1,143.0,112.0,1999,-37.57063,144.70693,Western Metropolitan,14092,0,737159,1.0,1.0,1.0
